date,hour,demand
2021-03-01,0,63.37541820114578
2021-03-01,1,51.05469566175357
2021-03-01,2,50.52035551056183
2021-03-01,3,49.55746951263703
2021-03-01,5,50.72217466350203
2021-03-01,6,50.00357663891722
2021-03-01,7,77.3028262686568
2021-03-01,8,79.63365438744198
2021-03-01,9,82.2149252942388
2021-03-01,10,73.77940738398641
2021-03-01,11,80.34721630779711
2021-03-01,12,87.77900666218572
2021-03-01,13,102.26099464313567
2021-03-01,14,101.5178928642129
2021-03-01,15,96.26590336397953
2021-03-01,16,91.01987944179777
2021-03-01,17,97.57328652875432
2021-03-01,18,94.61719343366639
2021-03-01,19,92.9304817974733
2021-03-01,20,93.81872762988672
2021-03-01,21,78.91766916151329
2021-03-01,22,66.923239464024
2021-03-01,23,61.52015579742606
2021-03-02,0,59.372444600720485
2021-03-02,1,55.03159094181386
2021-03-02,2,55.28843367880572
2021-03-02,4,51.52929301320144
2021-03-02,6,54.46033133501178
2021-03-02,7,72.31416003049962
2021-03-02,8,79.25421339666603
2021-03-02,9,80.89180073458637
2021-03-02,10,69.40693332188783
2021-03-02,11,75.86691725334768
2021-03-02,12,81.03459419777722
2021-03-02,13,91.24052022299388
2021-03-02,14,85.69406337245398
2021-03-02,15,86.84475343276749
2021-03-02,16,92.2183160115989
2021-03-02,17,95.96705359385629
2021-03-02,18,89.79473302030576
2021-03-02,19,88.20663111423906
2021-03-02,20,91.34629819350481
2021-03-02,21,76.35096670587187
2021-03-02,22,61.412461109307955
2021-03-02,23,59.874045550569704
2021-03-03,0,58.73670600048622
2021-03-03,2,62.416170941095544
2021-03-03,3,58.80824678399105
2021-03-03,4,61.676157491281245
2021-03-03,5,60.39320881317132
2021-03-03,6,58.84707701706742
2021-03-03,7,71.1422815427075
2021-03-03,8,78.09231545941101
2021-03-03,9,79.73082338000269
2021-03-03,10,68.88244106405695
2021-03-03,11,75.35061673774396
2021-03-03,12,73.25617973403416
2021-03-03,13,75.98490900791853
2021-03-03,14,70.34587991978377
2021-03-03,15,76.3110053376922
2021-03-03,16,86.60320914519095
2021-03-03,17,85.30845332534872
2021-03-03,18,88.0226669005607
2021-03-03,19,83.02205534016153
2021-03-03,20,84.22379578717936
2021-03-03,21,70.112732709845
2021-03-03,22,66.81105300701452
2021-03-03,23,65.2570975469254
2021-03-04,0,61.34808911305943
2021-03-04,1,57.31391701798694
2021-03-04,2,64.72779308383005
2021-03-04,4,63.28554271459278
2021-03-04,6,64.90509279414891
2021-03-04,7,68.11276223042165
2021-03-04,8,80.26415363735954
2021-03-04,9,76.6017980434129
2021-03-04,10,74.69577935257037
2021-03-04,11,78.97448059928959
2021-03-04,12,79.02889068775002
2021-03-04,13,80.73340395007912
2021-03-04,14,79.00399295459573
2021-03-04,15,84.98890767811483
2021-03-04,16,83.29947071809252
2021-03-04,17,85.34383501237396
2021-03-04,18,89.41362602566795
2021-03-04,19,82.46545418769965
2021-03-04,20,82.8640807816142
2021-03-04,21,70.64181595364654
2021-03-04,22,73.71159879025159
2021-03-04,23,69.98132410200006
2021-03-05,0,65.85926636323961
2021-03-05,1,57.01603558861818
2021-03-05,2,63.274973751431126
2021-03-05,3,60.045290146665174
2021-03-05,4,64.40887690690691
2021-03-05,5,61.674763646439686
2021-03-05,6,65.82922280065317
2021-03-05,7,67.63461471147242
2021-03-05,8,75.32690130950112
2021-03-05,9,77.55525413187935
2021-03-05,10,83.254519161444
2021-03-05,11,97.36411369779091
2021-03-05,12,98.67565294860361
2021-03-05,13,94.31735894675228
2021-03-05,14,90.32417670484242
